threshold,base_value,pct_change,archetype,prevalence,n_matches
fav_underdog_elo_gap,150.0,-30,heavyweight_clash,0.0955,99
fav_underdog_elo_gap,150.0,-30,favorite_vs_underdog,0.5641,585
fav_underdog_elo_gap,150.0,-30,host_pressure,0.1263,131
fav_underdog_elo_gap,150.0,-30,generational_transition,0.1678,174
fav_underdog_elo_gap,150.0,-30,club_power_mismatch,0.1524,158
fav_underdog_elo_gap,150.0,-30,tactical_contrast,0.2035,211
fav_underdog_elo_gap,150.0,-30,knockout_volatility,0.0723,75
fav_underdog_elo_gap,150.0,-30,upset_realized,0.2141,222
fav_underdog_elo_gap,150.0,-20,heavyweight_clash,0.0955,99
fav_underdog_elo_gap,150.0,-20,favorite_vs_underdog,0.4995,518
fav_underdog_elo_gap,150.0,-20,host_pressure,0.1263,131
fav_underdog_elo_gap,150.0,-20,generational_transition,0.1678,174
fav_underdog_elo_gap,150.0,-20,club_power_mismatch,0.1524,158
fav_underdog_elo_gap,150.0,-20,tactical_contrast,0.2035,211
fav_underdog_elo_gap,150.0,-20,knockout_volatility,0.0723,75
fav_underdog_elo_gap,150.0,-20,upset_realized,0.2141,222
fav_underdog_elo_gap,150.0,-10,heavyweight_clash,0.0955,99
fav_underdog_elo_gap,150.0,-10,favorite_vs_underdog,0.4484,465
fav_underdog_elo_gap,150.0,-10,host_pressure,0.1263,131
fav_underdog_elo_gap,150.0,-10,generational_transition,0.1678,174
fav_underdog_elo_gap,150.0,-10,club_power_mismatch,0.1524,158
fav_underdog_elo_gap,150.0,-10,tactical_contrast,0.2035,211
fav_underdog_elo_gap,150.0,-10,knockout_volatility,0.0723,75
fav_underdog_elo_gap,150.0,-10,upset_realized,0.2141,222
fav_underdog_elo_gap,150.0,0,heavyweight_clash,0.0955,99
fav_underdog_elo_gap,150.0,0,favorite_vs_underdog,0.3934,408
fav_underdog_elo_gap,150.0,0,host_pressure,0.1263,131
fav_underdog_elo_gap,150.0,0,generational_transition,0.1678,174
fav_underdog_elo_gap,150.0,0,club_power_mismatch,0.1524,158
fav_underdog_elo_gap,150.0,0,tactical_contrast,0.2035,211
fav_underdog_elo_gap,150.0,0,knockout_volatility,0.0723,75
fav_underdog_elo_gap,150.0,0,upset_realized,0.2141,222
fav_underdog_elo_gap,150.0,10,heavyweight_clash,0.0955,99
fav_underdog_elo_gap,150.0,10,favorite_vs_underdog,0.3558,369
fav_underdog_elo_gap,150.0,10,host_pressure,0.1263,131
fav_underdog_elo_gap,150.0,10,generational_transition,0.1678,174
fav_underdog_elo_gap,150.0,10,club_power_mismatch,0.1524,158
fav_underdog_elo_gap,150.0,10,tactical_contrast,0.2035,211
fav_underdog_elo_gap,150.0,10,knockout_volatility,0.0723,75
fav_underdog_elo_gap,150.0,10,upset_realized,0.2141,222
fav_underdog_elo_gap,150.0,20,heavyweight_clash,0.0955,99
fav_underdog_elo_gap,150.0,20,favorite_vs_underdog,0.3115,323
fav_underdog_elo_gap,150.0,20,host_pressure,0.1263,131
fav_underdog_elo_gap,150.0,20,generational_transition,0.1678,174
fav_underdog_elo_gap,150.0,20,club_power_mismatch,0.1524,158
fav_underdog_elo_gap,150.0,20,tactical_contrast,0.2035,211
fav_underdog_elo_gap,150.0,20,knockout_volatility,0.0723,75
fav_underdog_elo_gap,150.0,20,upset_realized,0.2141,222
fav_underdog_elo_gap,150.0,30,heavyweight_clash,0.0955,99
fav_underdog_elo_gap,150.0,30,favorite_vs_underdog,0.2729,283
fav_underdog_elo_gap,150.0,30,host_pressure,0.1263,131
fav_underdog_elo_gap,150.0,30,generational_transition,0.1678,174
fav_underdog_elo_gap,150.0,30,club_power_mismatch,0.1524,158
fav_underdog_elo_gap,150.0,30,tactical_contrast,0.2035,211
fav_underdog_elo_gap,150.0,30,knockout_volatility,0.0723,75
fav_underdog_elo_gap,150.0,30,upset_realized,0.2141,222
ko_volatility_elo_gap,80.0,-30,heavyweight_clash,0.0955,99
ko_volatility_elo_gap,80.0,-30,favorite_vs_underdog,0.3934,408
ko_volatility_elo_gap,80.0,-30,host_pressure,0.1263,131
ko_volatility_elo_gap,80.0,-30,generational_transition,0.1678,174
ko_volatility_elo_gap,80.0,-30,club_power_mismatch,0.1524,158
ko_volatility_elo_gap,80.0,-30,tactical_contrast,0.2035,211
ko_volatility_elo_gap,80.0,-30,knockout_volatility,0.0579,60
ko_volatility_elo_gap,80.0,-30,upset_realized,0.2141,222
ko_volatility_elo_gap,80.0,-20,heavyweight_clash,0.0955,99
ko_volatility_elo_gap,80.0,-20,favorite_vs_underdog,0.3934,408
ko_volatility_elo_gap,80.0,-20,host_pressure,0.1263,131
ko_volatility_elo_gap,80.0,-20,generational_transition,0.1678,174
ko_volatility_elo_gap,80.0,-20,club_power_mismatch,0.1524,158
ko_volatility_elo_gap,80.0,-20,tactical_contrast,0.2035,211
ko_volatility_elo_gap,80.0,-20,knockout_volatility,0.0646,67
ko_volatility_elo_gap,80.0,-20,upset_realized,0.2141,222
ko_volatility_elo_gap,80.0,-10,heavyweight_clash,0.0955,99
ko_volatility_elo_gap,80.0,-10,favorite_vs_underdog,0.3934,408
ko_volatility_elo_gap,80.0,-10,host_pressure,0.1263,131
ko_volatility_elo_gap,80.0,-10,generational_transition,0.1678,174
ko_volatility_elo_gap,80.0,-10,club_power_mismatch,0.1524,158
ko_volatility_elo_gap,80.0,-10,tactical_contrast,0.2035,211
ko_volatility_elo_gap,80.0,-10,knockout_volatility,0.0675,70
ko_volatility_elo_gap,80.0,-10,upset_realized,0.2141,222
ko_volatility_elo_gap,80.0,0,heavyweight_clash,0.0955,99
ko_volatility_elo_gap,80.0,0,favorite_vs_underdog,0.3934,408
ko_volatility_elo_gap,80.0,0,host_pressure,0.1263,131
ko_volatility_elo_gap,80.0,0,generational_transition,0.1678,174
ko_volatility_elo_gap,80.0,0,club_power_mismatch,0.1524,158
ko_volatility_elo_gap,80.0,0,tactical_contrast,0.2035,211
ko_volatility_elo_gap,80.0,0,knockout_volatility,0.0723,75
ko_volatility_elo_gap,80.0,0,upset_realized,0.2141,222
ko_volatility_elo_gap,80.0,10,heavyweight_clash,0.0955,99
ko_volatility_elo_gap,80.0,10,favorite_vs_underdog,0.3934,408
ko_volatility_elo_gap,80.0,10,host_pressure,0.1263,131
ko_volatility_elo_gap,80.0,10,generational_transition,0.1678,174
ko_volatility_elo_gap,80.0,10,club_power_mismatch,0.1524,158
ko_volatility_elo_gap,80.0,10,tactical_contrast,0.2035,211
ko_volatility_elo_gap,80.0,10,knockout_volatility,0.0791,82
ko_volatility_elo_gap,80.0,10,upset_realized,0.2141,222
ko_volatility_elo_gap,80.0,20,heavyweight_clash,0.0955,99
ko_volatility_elo_gap,80.0,20,favorite_vs_underdog,0.3934,408
ko_volatility_elo_gap,80.0,20,host_pressure,0.1263,131
ko_volatility_elo_gap,80.0,20,generational_transition,0.1678,174
ko_volatility_elo_gap,80.0,20,club_power_mismatch,0.1524,158
ko_volatility_elo_gap,80.0,20,tactical_contrast,0.2035,211
ko_volatility_elo_gap,80.0,20,knockout_volatility,0.082,85
ko_volatility_elo_gap,80.0,20,upset_realized,0.2141,222
ko_volatility_elo_gap,80.0,30,heavyweight_clash,0.0955,99
ko_volatility_elo_gap,80.0,30,favorite_vs_underdog,0.3934,408
ko_volatility_elo_gap,80.0,30,host_pressure,0.1263,131
ko_volatility_elo_gap,80.0,30,generational_transition,0.1678,174
ko_volatility_elo_gap,80.0,30,club_power_mismatch,0.1524,158
ko_volatility_elo_gap,80.0,30,tactical_contrast,0.2035,211
ko_volatility_elo_gap,80.0,30,knockout_volatility,0.0868,90
ko_volatility_elo_gap,80.0,30,upset_realized,0.2141,222
club_mismatch_top5_gap,0.25,-30,heavyweight_clash,0.0955,99
club_mismatch_top5_gap,0.25,-30,favorite_vs_underdog,0.3934,408
club_mismatch_top5_gap,0.25,-30,host_pressure,0.1263,131
club_mismatch_top5_gap,0.25,-30,generational_transition,0.1678,174
club_mismatch_top5_gap,0.25,-30,club_power_mismatch,0.1871,194
club_mismatch_top5_gap,0.25,-30,tactical_contrast,0.2035,211
club_mismatch_top5_gap,0.25,-30,knockout_volatility,0.0723,75
club_mismatch_top5_gap,0.25,-30,upset_realized,0.2141,222
club_mismatch_top5_gap,0.25,-20,heavyweight_clash,0.0955,99
club_mismatch_top5_gap,0.25,-20,favorite_vs_underdog,0.3934,408
club_mismatch_top5_gap,0.25,-20,host_pressure,0.1263,131
club_mismatch_top5_gap,0.25,-20,generational_transition,0.1678,174
club_mismatch_top5_gap,0.25,-20,club_power_mismatch,0.1765,183
club_mismatch_top5_gap,0.25,-20,tactical_contrast,0.2035,211
club_mismatch_top5_gap,0.25,-20,knockout_volatility,0.0723,75
club_mismatch_top5_gap,0.25,-20,upset_realized,0.2141,222
club_mismatch_top5_gap,0.25,-10,heavyweight_clash,0.0955,99
club_mismatch_top5_gap,0.25,-10,favorite_vs_underdog,0.3934,408
club_mismatch_top5_gap,0.25,-10,host_pressure,0.1263,131
club_mismatch_top5_gap,0.25,-10,generational_transition,0.1678,174
club_mismatch_top5_gap,0.25,-10,club_power_mismatch,0.1591,165
club_mismatch_top5_gap,0.25,-10,tactical_contrast,0.2035,211
club_mismatch_top5_gap,0.25,-10,knockout_volatility,0.0723,75
club_mismatch_top5_gap,0.25,-10,upset_realized,0.2141,222
club_mismatch_top5_gap,0.25,0,heavyweight_clash,0.0955,99
club_mismatch_top5_gap,0.25,0,favorite_vs_underdog,0.3934,408
club_mismatch_top5_gap,0.25,0,host_pressure,0.1263,131
club_mismatch_top5_gap,0.25,0,generational_transition,0.1678,174
club_mismatch_top5_gap,0.25,0,club_power_mismatch,0.1524,158
club_mismatch_top5_gap,0.25,0,tactical_contrast,0.2035,211
club_mismatch_top5_gap,0.25,0,knockout_volatility,0.0723,75
club_mismatch_top5_gap,0.25,0,upset_realized,0.2141,222
club_mismatch_top5_gap,0.25,10,heavyweight_clash,0.0955,99
club_mismatch_top5_gap,0.25,10,favorite_vs_underdog,0.3934,408
club_mismatch_top5_gap,0.25,10,host_pressure,0.1263,131
club_mismatch_top5_gap,0.25,10,generational_transition,0.1678,174
club_mismatch_top5_gap,0.25,10,club_power_mismatch,0.136,141
club_mismatch_top5_gap,0.25,10,tactical_contrast,0.2035,211
club_mismatch_top5_gap,0.25,10,knockout_volatility,0.0723,75
club_mismatch_top5_gap,0.25,10,upset_realized,0.2141,222
club_mismatch_top5_gap,0.25,20,heavyweight_clash,0.0955,99
club_mismatch_top5_gap,0.25,20,favorite_vs_underdog,0.3934,408
club_mismatch_top5_gap,0.25,20,host_pressure,0.1263,131
club_mismatch_top5_gap,0.25,20,generational_transition,0.1678,174
club_mismatch_top5_gap,0.25,20,club_power_mismatch,0.136,141
club_mismatch_top5_gap,0.25,20,tactical_contrast,0.2035,211
club_mismatch_top5_gap,0.25,20,knockout_volatility,0.0723,75
club_mismatch_top5_gap,0.25,20,upset_realized,0.2141,222
club_mismatch_top5_gap,0.25,30,heavyweight_clash,0.0955,99
club_mismatch_top5_gap,0.25,30,favorite_vs_underdog,0.3934,408
club_mismatch_top5_gap,0.25,30,host_pressure,0.1263,131
club_mismatch_top5_gap,0.25,30,generational_transition,0.1678,174
club_mismatch_top5_gap,0.25,30,club_power_mismatch,0.1157,120
club_mismatch_top5_gap,0.25,30,tactical_contrast,0.2035,211
club_mismatch_top5_gap,0.25,30,knockout_volatility,0.0723,75
club_mismatch_top5_gap,0.25,30,upset_realized,0.2141,222
gen_trans_age_gap,3.0,-30,heavyweight_clash,0.0955,99
gen_trans_age_gap,3.0,-30,favorite_vs_underdog,0.3934,408
gen_trans_age_gap,3.0,-30,host_pressure,0.1263,131
gen_trans_age_gap,3.0,-30,generational_transition,0.2015,209
gen_trans_age_gap,3.0,-30,club_power_mismatch,0.1524,158
gen_trans_age_gap,3.0,-30,tactical_contrast,0.2035,211
gen_trans_age_gap,3.0,-30,knockout_volatility,0.0723,75
gen_trans_age_gap,3.0,-30,upset_realized,0.2141,222
gen_trans_age_gap,3.0,-20,heavyweight_clash,0.0955,99
gen_trans_age_gap,3.0,-20,favorite_vs_underdog,0.3934,408
gen_trans_age_gap,3.0,-20,host_pressure,0.1263,131
gen_trans_age_gap,3.0,-20,generational_transition,0.1842,191
gen_trans_age_gap,3.0,-20,club_power_mismatch,0.1524,158
gen_trans_age_gap,3.0,-20,tactical_contrast,0.2035,211
gen_trans_age_gap,3.0,-20,knockout_volatility,0.0723,75
gen_trans_age_gap,3.0,-20,upset_realized,0.2141,222
gen_trans_age_gap,3.0,-10,heavyweight_clash,0.0955,99
gen_trans_age_gap,3.0,-10,favorite_vs_underdog,0.3934,408
gen_trans_age_gap,3.0,-10,host_pressure,0.1263,131
gen_trans_age_gap,3.0,-10,generational_transition,0.1726,179
gen_trans_age_gap,3.0,-10,club_power_mismatch,0.1524,158
gen_trans_age_gap,3.0,-10,tactical_contrast,0.2035,211
gen_trans_age_gap,3.0,-10,knockout_volatility,0.0723,75
gen_trans_age_gap,3.0,-10,upset_realized,0.2141,222
gen_trans_age_gap,3.0,0,heavyweight_clash,0.0955,99
gen_trans_age_gap,3.0,0,favorite_vs_underdog,0.3934,408
gen_trans_age_gap,3.0,0,host_pressure,0.1263,131
gen_trans_age_gap,3.0,0,generational_transition,0.1678,174
gen_trans_age_gap,3.0,0,club_power_mismatch,0.1524,158
gen_trans_age_gap,3.0,0,tactical_contrast,0.2035,211
gen_trans_age_gap,3.0,0,knockout_volatility,0.0723,75
gen_trans_age_gap,3.0,0,upset_realized,0.2141,222
gen_trans_age_gap,3.0,10,heavyweight_clash,0.0955,99
gen_trans_age_gap,3.0,10,favorite_vs_underdog,0.3934,408
gen_trans_age_gap,3.0,10,host_pressure,0.1263,131
gen_trans_age_gap,3.0,10,generational_transition,0.162,168
gen_trans_age_gap,3.0,10,club_power_mismatch,0.1524,158
gen_trans_age_gap,3.0,10,tactical_contrast,0.2035,211
gen_trans_age_gap,3.0,10,knockout_volatility,0.0723,75
gen_trans_age_gap,3.0,10,upset_realized,0.2141,222
gen_trans_age_gap,3.0,20,heavyweight_clash,0.0955,99
gen_trans_age_gap,3.0,20,favorite_vs_underdog,0.3934,408
gen_trans_age_gap,3.0,20,host_pressure,0.1263,131
gen_trans_age_gap,3.0,20,generational_transition,0.1601,166
gen_trans_age_gap,3.0,20,club_power_mismatch,0.1524,158
gen_trans_age_gap,3.0,20,tactical_contrast,0.2035,211
gen_trans_age_gap,3.0,20,knockout_volatility,0.0723,75
gen_trans_age_gap,3.0,20,upset_realized,0.2141,222
gen_trans_age_gap,3.0,30,heavyweight_clash,0.0955,99
gen_trans_age_gap,3.0,30,favorite_vs_underdog,0.3934,408
gen_trans_age_gap,3.0,30,host_pressure,0.1263,131
gen_trans_age_gap,3.0,30,generational_transition,0.1572,163
gen_trans_age_gap,3.0,30,club_power_mismatch,0.1524,158
gen_trans_age_gap,3.0,30,tactical_contrast,0.2035,211
gen_trans_age_gap,3.0,30,knockout_volatility,0.0723,75
gen_trans_age_gap,3.0,30,upset_realized,0.2141,222
